lr,batch_size,num_layers,hidden_size,test_loss
0.01,256,4,50,0.023111045360565186
0.01,256,4,100,0.023862989619374275
0.01,256,4,200,0.0238866675645113
0.01,256,4,300,0.02428782545030117
0.01,256,4,400,0.0237252376973629
0.01,256,4,500,0.024681339040398598
0.01,256,5,50,0.022826142609119415
0.01,256,5,100,0.023654654622077942
0.01,256,5,200,0.024169161915779114
0.01,256,5,300,0.022512489929795265
0.01,256,5,400,0.3420560359954834
0.01,256,5,500,0.2882978022098541
