lr,batch_size,num_layers,hidden_size,dropout_rate,init,test_loss
3.1622776601683795e-05,32,4,50,0.3,he,0.044159162789583206
3.1622776601683795e-05,32,4,50,0.3,xavier,0.040829092264175415
3.1622776601683795e-05,32,4,50,0.4,he,0.044541940093040466
3.1622776601683795e-05,32,4,50,0.4,xavier,0.04246538504958153
3.1622776601683795e-05,32,4,50,0.5,he,0.04382259398698807
3.1622776601683795e-05,32,4,50,0.5,xavier,0.043807242065668106
3.1622776601683795e-05,32,4,100,0.2,he,0.03864540904760361
3.1622776601683795e-05,32,4,100,0.2,xavier,0.030362199991941452
3.1622776601683795e-05,32,4,100,0.3,he,0.0412626713514328
3.1622776601683795e-05,32,4,100,0.3,xavier,0.03543112426996231
3.1622776601683795e-05,32,4,100,0.4,he,0.04166260361671448
3.1622776601683795e-05,32,4,100,0.4,xavier,0.04147019237279892
3.1622776601683795e-05,32,4,100,0.5,he,0.042915426194667816
3.1622776601683795e-05,32,4,100,0.5,xavier,0.043109066784381866
3.1622776601683795e-05,32,4,200,0.2,he,0.02711157500743866
3.1622776601683795e-05,32,4,200,0.2,xavier,0.021335745230317116
3.1622776601683795e-05,32,4,200,0.3,he,0.03414107859134674
3.1622776601683795e-05,32,4,200,0.3,xavier,0.025029513984918594
3.1622776601683795e-05,32,4,200,0.4,he,0.03812709450721741
3.1622776601683795e-05,32,4,200,0.4,xavier,0.030877400189638138
3.1622776601683795e-05,32,4,200,0.5,he,0.041470084339380264
3.1622776601683795e-05,32,4,200,0.5,xavier,0.03954227641224861
3.1622776601683795e-05,32,4,300,0.2,he,0.022007768973708153
3.1622776601683795e-05,32,4,300,0.2,xavier,0.01918526366353035
3.1622776601683795e-05,32,4,300,0.3,he,0.023002484813332558
3.1622776601683795e-05,32,4,300,0.3,xavier,0.02322210744023323
3.1622776601683795e-05,32,4,300,0.4,he,0.032785795629024506
3.1622776601683795e-05,32,4,300,0.4,xavier,0.025678426027297974
3.1622776601683795e-05,32,4,300,0.5,he,0.038098569959402084
3.1622776601683795e-05,32,4,300,0.5,xavier,0.03593822196125984
3.1622776601683795e-05,32,4,400,0.2,he,0.019359955564141273
3.1622776601683795e-05,32,4,400,0.2,xavier,0.018759217113256454
3.1622776601683795e-05,32,4,400,0.3,he,0.022998088970780373
3.1622776601683795e-05,32,4,400,0.3,xavier,0.020745450630784035
3.1622776601683795e-05,32,4,400,0.4,he,0.026469094678759575
3.1622776601683795e-05,32,4,400,0.4,xavier,0.025397131219506264
3.1622776601683795e-05,32,4,400,0.5,he,0.03569824993610382
3.1622776601683795e-05,32,4,400,0.5,xavier,0.030858784914016724
3.1622776601683795e-05,32,4,500,0.2,he,0.019730068743228912
3.1622776601683795e-05,32,4,500,0.2,xavier,0.02011491172015667
3.1622776601683795e-05,32,4,500,0.3,he,0.023579834029078484
3.1622776601683795e-05,32,4,500,0.3,xavier,0.02293015643954277
3.1622776601683795e-05,32,4,500,0.4,he,0.026412099599838257
3.1622776601683795e-05,32,4,500,0.4,xavier,0.02286437712609768
3.1622776601683795e-05,32,4,500,0.5,he,0.03276240453124046
3.1622776601683795e-05,32,4,500,0.5,xavier,0.026451651006937027
3.1622776601683795e-05,32,5,50,0.2,he,0.044069964438676834
3.1622776601683795e-05,32,5,50,0.2,xavier,0.04137926176190376
3.1622776601683795e-05,32,5,50,0.3,he,0.04375216364860535
3.1622776601683795e-05,32,5,50,0.3,xavier,0.0432734340429306
3.1622776601683795e-05,32,5,50,0.4,he,0.043728653341531754
3.1622776601683795e-05,32,5,50,0.4,xavier,0.04424772411584854
3.1622776601683795e-05,32,5,50,0.5,he,0.044146060943603516
3.1622776601683795e-05,32,5,50,0.5,xavier,0.04363366588950157
3.1622776601683795e-05,32,5,100,0.2,he,0.03817569464445114
3.1622776601683795e-05,32,5,100,0.2,xavier,0.04027643799781799
3.1622776601683795e-05,32,5,100,0.3,he,0.042290378361940384
3.1622776601683795e-05,32,5,100,0.3,xavier,0.04005565121769905
3.1622776601683795e-05,32,5,100,0.4,he,0.04336145520210266
3.1622776601683795e-05,32,5,100,0.4,xavier,0.043977368623018265
3.1622776601683795e-05,32,5,100,0.5,he,0.04396798089146614
3.1622776601683795e-05,32,5,100,0.5,xavier,0.043989114463329315
3.1622776601683795e-05,32,5,200,0.2,he,0.02846437506377697
3.1622776601683795e-05,32,5,200,0.2,xavier,0.02390739880502224
3.1622776601683795e-05,32,5,200,0.3,he,0.039559394121170044
3.1622776601683795e-05,32,5,200,0.3,xavier,0.035881511867046356
3.1622776601683795e-05,32,5,200,0.4,he,0.04261722415685654
3.1622776601683795e-05,32,5,200,0.4,xavier,0.04176834970712662
3.1622776601683795e-05,32,5,200,0.5,he,0.04397447034716606
3.1622776601683795e-05,32,5,200,0.5,xavier,0.043548062443733215
3.1622776601683795e-05,32,5,300,0.2,he,0.026313986629247665
3.1622776601683795e-05,32,5,300,0.2,xavier,0.02302808128297329
3.1622776601683795e-05,32,5,300,0.3,he,0.03608059510588646
3.1622776601683795e-05,32,5,300,0.3,xavier,0.027736730873584747
3.1622776601683795e-05,32,5,300,0.4,he,0.04060192033648491
3.1622776601683795e-05,32,5,300,0.4,xavier,0.03968459740281105
3.1622776601683795e-05,32,5,300,0.5,he,0.041910406202077866
3.1622776601683795e-05,32,5,300,0.5,xavier,0.042670201510190964
3.1622776601683795e-05,32,5,400,0.2,he,0.0269708763808012
3.1622776601683795e-05,32,5,400,0.2,xavier,0.026480816304683685
3.1622776601683795e-05,32,5,400,0.3,he,0.034336283802986145
3.1622776601683795e-05,32,5,400,0.3,xavier,0.034929707646369934
3.1622776601683795e-05,32,5,400,0.4,he,0.03905972093343735
3.1622776601683795e-05,32,5,400,0.4,xavier,0.03880790248513222
3.1622776601683795e-05,32,5,400,0.5,he,0.04223991557955742
3.1622776601683795e-05,32,5,400,0.5,xavier,0.04177797585725784
3.1622776601683795e-05,32,5,500,0.2,he,0.026846902444958687
3.1622776601683795e-05,32,5,500,0.2,xavier,0.02596929855644703
3.1622776601683795e-05,32,5,500,0.3,he,0.03397751227021217
3.1622776601683795e-05,32,5,500,0.3,xavier,0.02775084227323532
3.1622776601683795e-05,32,5,500,0.4,he,0.037962913513183594
3.1622776601683795e-05,32,5,500,0.4,xavier,0.03872353956103325
3.1622776601683795e-05,32,5,500,0.5,he,0.04116417095065117
3.1622776601683795e-05,32,5,500,0.5,xavier,0.04182425141334534
3.1622776601683795e-05,32,6,50,0.2,he,0.04482816904783249
3.1622776601683795e-05,32,6,50,0.2,xavier,0.04349450394511223
3.1622776601683795e-05,32,6,50,0.3,he,0.04392014443874359
3.1622776601683795e-05,32,6,50,0.3,xavier,0.044168226420879364
3.1622776601683795e-05,32,6,50,0.4,he,0.04416293650865555
3.1622776601683795e-05,32,6,50,0.4,xavier,0.04419642314314842
3.1622776601683795e-05,32,6,50,0.5,he,0.04458754509687424
3.1622776601683795e-05,32,6,50,0.5,xavier,0.043715085834264755
3.1622776601683795e-05,32,6,100,0.2,he,0.042405884712934494
3.1622776601683795e-05,32,6,100,0.2,xavier,0.04072921350598335
3.1622776601683795e-05,32,6,100,0.3,he,0.04465031251311302
3.1622776601683795e-05,32,6,100,0.3,xavier,0.0440269373357296
3.1622776601683795e-05,32,6,100,0.4,he,0.04505417123436928
3.1622776601683795e-05,32,6,100,0.4,xavier,0.04408971220254898
3.1622776601683795e-05,32,6,100,0.5,he,0.04436726123094559
3.1622776601683795e-05,32,6,100,0.5,xavier,0.04504731670022011
3.1622776601683795e-05,32,6,200,0.2,he,0.0370204821228981
3.1622776601683795e-05,32,6,200,0.2,xavier,0.03424492105841637
3.1622776601683795e-05,32,6,200,0.3,he,0.04210316389799118
3.1622776601683795e-05,32,6,200,0.3,xavier,0.04225761070847511
3.1622776601683795e-05,32,6,200,0.4,he,0.04339132457971573
3.1622776601683795e-05,32,6,200,0.4,xavier,0.043862197548151016
3.1622776601683795e-05,32,6,200,0.5,he,0.04390484094619751
3.1622776601683795e-05,32,6,200,0.5,xavier,0.043489787727594376
3.1622776601683795e-05,32,6,300,0.2,he,0.035684842616319656
3.1622776601683795e-05,32,6,300,0.2,xavier,0.03159772604703903
3.1622776601683795e-05,32,6,300,0.3,he,0.04114990681409836
3.1622776601683795e-05,32,6,300,0.3,xavier,0.043914794921875
3.1622776601683795e-05,32,6,300,0.4,he,0.04376938194036484
3.1622776601683795e-05,32,6,300,0.4,xavier,0.0428621806204319
3.1622776601683795e-05,32,6,300,0.5,he,0.04620583727955818
3.1622776601683795e-05,32,6,300,0.5,xavier,0.04396543279290199
3.1622776601683795e-05,32,6,400,0.2,he,0.03905234485864639
3.1622776601683795e-05,32,6,400,0.2,xavier,0.03459106758236885
3.1622776601683795e-05,32,6,400,0.3,he,0.043558962643146515
3.1622776601683795e-05,32,6,400,0.3,xavier,0.04095597565174103
3.1622776601683795e-05,32,6,400,0.4,he,0.04319612681865692
3.1622776601683795e-05,32,6,400,0.4,xavier,0.047857996076345444
3.1622776601683795e-05,32,6,400,0.5,he,0.044791847467422485
3.1622776601683795e-05,32,6,400,0.5,xavier,0.04361841455101967
3.1622776601683795e-05,32,6,500,0.2,he,0.03315511718392372
3.1622776601683795e-05,32,6,500,0.2,xavier,0.03310376778244972
3.1622776601683795e-05,32,6,500,0.3,he,0.040289632976055145
3.1622776601683795e-05,32,6,500,0.3,xavier,0.044858451932668686
3.1622776601683795e-05,32,6,500,0.4,he,0.04311591386795044
3.1622776601683795e-05,32,6,500,0.4,xavier,0.0430184043943882
3.1622776601683795e-05,32,6,500,0.5,he,0.04388972744345665
3.1622776601683795e-05,32,6,500,0.5,xavier,0.04298963025212288
3.1622776601683795e-05,32,7,50,0.2,he,0.0444059781730175
3.1622776601683795e-05,32,7,50,0.2,xavier,0.04357313737273216
3.1622776601683795e-05,32,7,50,0.3,he,0.043995581567287445
3.1622776601683795e-05,32,7,50,0.3,xavier,0.044682394713163376
3.1622776601683795e-05,32,7,50,0.4,he,0.04494691640138626
3.1622776601683795e-05,32,7,50,0.4,xavier,0.0436038076877594
3.1622776601683795e-05,32,7,50,0.5,he,0.04371108487248421
3.1622776601683795e-05,32,7,50,0.5,xavier,0.043820820748806
3.1622776601683795e-05,32,7,100,0.2,he,0.044068872928619385
3.1622776601683795e-05,32,7,100,0.2,xavier,0.043588314205408096
3.1622776601683795e-05,32,7,100,0.3,he,0.04423470422625542
3.1622776601683795e-05,32,7,100,0.3,xavier,0.04423205181956291
3.1622776601683795e-05,32,7,100,0.4,he,0.043939609080553055
3.1622776601683795e-05,32,7,100,0.4,xavier,0.04418038949370384
3.1622776601683795e-05,32,7,100,0.5,he,0.04370710626244545
3.1622776601683795e-05,32,7,100,0.5,xavier,0.04397241771221161
3.1622776601683795e-05,32,7,200,0.2,he,0.04151661694049835
3.1622776601683795e-05,32,7,200,0.2,xavier,0.043390486389398575
3.1622776601683795e-05,32,7,200,0.3,he,0.043096259236335754
3.1622776601683795e-05,32,7,200,0.3,xavier,0.04408155009150505
3.1622776601683795e-05,32,7,200,0.4,he,0.04373202845454216
3.1622776601683795e-05,32,7,200,0.4,xavier,0.04499689117074013
3.1622776601683795e-05,32,7,200,0.5,he,0.043943844735622406
3.1622776601683795e-05,32,7,200,0.5,xavier,0.04346712678670883
3.1622776601683795e-05,32,7,300,0.2,he,0.04168853163719177
