id,lr,batch_size,num_layers,hidden_size,min_test_loss
227,0.001,256,3,400,0.016027648001909256
228,0.001,256,3,500,0.016000589355826378
229,0.001,256,4,50,0.01580982841551304
230,0.001,256,4,100,0.015859520062804222
231,0.001,256,4,200,0.016316372901201248
232,0.001,256,4,300,0.01609140634536743
233,0.001,256,4,400,0.016197385266423225
234,0.001,256,4,500,0.016370529308915138
235,0.001,256,5,50,0.016215665265917778
236,0.001,256,5,100,0.016045821830630302
237,0.001,256,5,200,0.016304662451148033
238,0.001,256,5,300,0.01618143357336521
239,0.001,256,5,400,0.016149871051311493
240,0.001,256,5,500,0.016417739912867546
241,0.01,32,1,50,0.04371856898069382
242,0.01,32,1,100,0.04376614838838577
243,0.01,32,1,200,0.0437166802585125
244,0.01,32,1,300,0.043788015842437744
245,0.01,32,1,400,0.04387841746211052
246,0.01,32,1,500,0.04384521767497063
247,0.01,32,2,50,0.016674598678946495
248,0.01,32,2,100,0.016975512728095055
249,0.01,32,2,200,0.017372727394104004
250,0.01,32,2,300,0.017267484217882156
251,0.01,32,2,400,0.016994008794426918
252,0.01,32,2,500,0.0165933258831501
253,0.01,32,3,50,0.016213733702898026
254,0.01,32,3,100,0.016161086037755013
255,0.01,32,3,200,0.016698414459824562
256,0.01,32,3,300,0.016503795981407166
257,0.01,32,3,400,0.016971992328763008
258,0.01,32,3,500,0.016718925908207893
259,0.01,32,4,50,0.01631871983408928
260,0.01,32,4,100,0.01633145660161972
261,0.01,32,4,200,0.0163588747382164
262,0.01,32,4,300,0.01672939956188202
263,0.01,32,4,400,0.01732507348060608
264,0.01,32,4,500,0.017091672867536545
265,0.01,32,5,50,0.016111576929688454
266,0.01,32,5,100,0.015912866219878197
267,0.01,32,5,200,0.016080157831311226
268,0.01,32,5,300,0.01675129309296608
269,0.01,32,5,400,0.016832955181598663
270,0.01,32,5,500,0.01738027110695839
271,0.01,64,1,50,0.043796055018901825
272,0.01,64,1,100,0.043747007846832275
273,0.01,64,1,200,0.04380296915769577
274,0.01,64,1,300,0.04381294921040535
275,0.01,64,1,400,0.04379371926188469
276,0.01,64,1,500,0.043757274746894836
277,0.01,64,2,50,0.016059840098023415
278,0.01,64,2,100,0.016295837238430977
279,0.01,64,2,200,0.016640212386846542
280,0.01,64,2,300,0.01649452932178974
281,0.01,64,2,400,0.017677441239356995
282,0.01,64,2,500,0.016879497095942497
283,0.01,64,3,50,0.015710394829511642
284,0.01,64,3,100,0.016767295077443123
285,0.01,64,3,200,0.01693831756711006
286,0.01,64,3,300,0.017134984955191612
287,0.01,64,3,400,0.016905460506677628
288,0.01,64,3,500,0.015985874459147453
289,0.01,64,4,50,0.015988660976290703
290,0.01,64,4,100,0.01672274060547352
291,0.01,64,4,200,0.017257820814847946
292,0.01,64,4,300,0.017362097278237343
293,0.01,64,4,400,0.016558971256017685
294,0.01,64,4,500,0.017035601660609245
295,0.01,64,5,50,0.016501938924193382
296,0.01,64,5,100,0.01667802780866623
297,0.01,64,5,200,0.01682480424642563
298,0.01,64,5,300,0.016829775646328926
299,0.01,64,5,400,0.016734527423977852
300,0.01,64,5,500,0.017127571627497673
301,0.01,128,1,50,0.0437840074300766
302,0.01,128,1,100,0.04379430413246155
303,0.01,128,1,200,0.043733954429626465
304,0.01,128,1,300,0.04378790035843849
305,0.01,128,1,400,0.04378948360681534
306,0.01,128,1,500,0.04381668195128441
307,0.01,128,2,50,0.016208035871386528
308,0.01,128,2,100,0.016489140689373016
309,0.01,128,2,200,0.01634405553340912
310,0.01,128,2,300,0.01720023900270462
311,0.01,128,2,400,0.016622362658381462
312,0.01,128,2,500,0.01667794957756996
313,0.01,128,3,50,0.015451174229383469
314,0.01,128,3,100,0.016423286870121956
315,0.01,128,3,200,0.016487523913383484
316,0.01,128,3,300,0.017003707587718964
317,0.01,128,3,400,0.017019281163811684
318,0.01,128,3,500,0.016837291419506073
319,0.01,128,4,50,0.0164305679500103
320,0.01,128,4,100,0.016035262495279312
321,0.01,128,4,200,0.015978408977389336
322,0.01,128,4,300,0.01671050675213337
323,0.01,128,4,400,0.017113100737333298
324,0.01,128,4,500,0.01754206232726574
325,0.01,128,5,50,0.016208235174417496
326,0.01,128,5,100,0.016208738088607788
327,0.01,128,5,200,0.01677226461470127
328,0.01,128,5,300,0.01712554320693016
329,0.01,128,5,400,0.01678019016981125
330,0.01,128,5,500,0.017267480492591858
331,0.01,256,1,50,0.04380548745393753
332,0.01,256,1,100,0.04379811882972717
333,0.01,256,1,200,0.04376757889986038
334,0.01,256,1,300,0.04379185289144516
335,0.01,256,1,400,0.043798141181468964
336,0.01,256,1,500,0.04367901757359505
337,0.01,256,2,50,0.01628497801721096
338,0.01,256,2,100,0.016191544011235237
339,0.01,256,2,200,0.016781935468316078
340,0.01,256,2,300,0.016164664179086685
341,0.01,256,2,400,0.016617652028799057
342,0.01,256,2,500,0.016511905938386917
343,0.01,256,3,50,0.016284499317407608
344,0.01,256,3,100,0.016349421814084053
345,0.01,256,3,200,0.01680697873234749
346,0.01,256,3,300,0.016529958695173264
347,0.01,256,3,400,0.017678378149867058
348,0.01,256,3,500,0.016692472621798515
349,0.01,256,4,50,0.01638363115489483
350,0.01,256,4,100,0.016309399157762527
351,0.01,256,4,200,0.017123159021139145
352,0.01,256,4,300,0.01667945832014084
353,0.01,256,4,400,0.01725391484797001
354,0.01,256,4,500,0.01769079640507698
355,0.01,256,5,50,0.016227906569838524
356,0.01,256,5,100,0.016214648261666298
357,0.01,256,5,200,0.016414334997534752
358,0.01,256,5,300,0.017158908769488335
359,0.01,256,5,400,0.01695423759520054
360,0.01,256,5,500,0.01753523387014866
